UDPRN,UPRN,POSTCODE,STREET_DESCRIPTION,x,y,lat,lng,addr_date
10314712,10090973062,GU31 4AW,READON CLOSE,475167.46875,123746.5703125,51.00819778442383,-0.9299615025520325,2012-03-19
10314713,10090973064,GU31 4AW,READON CLOSE,475167.46875,123746.5703125,51.00819778442383,-0.9299615025520325,2012-03-19
10314714,10090973065,GU31 4AW,READON CLOSE,475167.46875,123746.5703125,51.00819778442383,-0.9299615025520325,2012-03-19
10314715,10090973066,GU31 4AW,READON CLOSE,475167.46875,123746.5703125,51.00819778442383,-0.9299615025520325,2012-03-19
10314716,10090973068,GU31 4AW,READON CLOSE,475167.46875,123746.5703125,51.00819778442383,-0.9299615025520325,2012-03-19
10314717,10090973071,GU31 4AW,READON CLOSE,475167.46875,123746.5703125,51.00819778442383,-0.9299615025520325,2012-03-19
10314718,10090973073,GU31 4AW,READON CLOSE,475167.46875,123746.5703125,51.00819778442383,-0.9299615025520325,2012-03-19
10314719,10090973074,GU31 4AW,READON CLOSE,475167.46875,123746.5703125,51.00819778442383,-0.9299615025520325,2012-03-19
10314720,10090973076,GU31 4AW,READON CLOSE,475167.46875,123746.5703125,51.00819778442383,-0.9299615025520325,2012-03-19
10315241,10094118970,GU31 4DZ,HEATH ROAD,474998.0,123264.0,51.00387954711914,-0.9324759840965271,2012-03-19
10320717,10032907207,GU32 2AB,SANDRINGHAM ROAD,474737.5625,123880.3671875,51.009456634521484,-0.9360603094100952,2012-03-14
10324327,10032907652,GU32 3NR,RAMSDEAN LANE,472794.3125,121303.796875,50.98653793334961,-0.9642704725265503,2012-03-19
52050539,10032905229,GU31 4LN,THE CAUSEWAY,474201.9375,122444.171875,50.996612548828125,-0.9439867734909058,2012-03-19
52050540,10032905231,GU31 4LN,THE CAUSEWAY,474201.9375,122444.171875,50.996612548828125,-0.9439867734909058,2012-03-19
52050541,10032905232,GU31 4LN,THE CAUSEWAY,474201.9375,122444.171875,50.996612548828125,-0.9439867734909058,2012-03-19
52050542,10032905233,GU31 4LN,THE CAUSEWAY,474201.9375,122444.171875,50.996612548828125,-0.9439867734909058,2012-03-19
52102157,10032907633,GU32 3DY,CHAPEL STREET,474604.71875,123468.8984375,51.00577163696289,-0.9380378723144531,2012-03-19
52682908,10032907165,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-13
52682909,10032907166,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-13
52682910,10032907167,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-13
52682911,10032907168,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-13
52682912,10032907169,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-14
52682913,10032907170,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-14
52682914,10032907171,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-14
52682915,10032907172,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-14
52682916,10032907173,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-14
52682917,10032907175,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-14
52682918,10032907177,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-14
52682919,10032907178,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-14
52682920,10032907179,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-14
52682921,10032907180,GU32 3FF,SWAN STREET,474538.8125,123309.96875,51.00435256958008,-0.9390097856521606,2012-02-14
52728015,10032907830,GU32 3AD,SWAN STREET,474555.40625,123281.3984375,51.004093170166016,-0.9387792944908142,2012-04-23
52747971,10032907557,GU31 4FG,MERRITTS MEADOW,474902.84375,123754.7578125,51.008304595947266,-0.9337307810783386,2012-07-17
52747972,10032907558,GU31 4FG,MERRITTS MEADOW,474902.84375,123754.7578125,51.008304595947266,-0.9337307810783386,2012-07-17
52747973,10032907559,GU31 4FG,MERRITTS MEADOW,474902.84375,123754.7578125,51.008304595947266,-0.9337307810783386,2012-07-17
52747974,10032907560,GU31 4FG,MERRITTS MEADOW,474902.84375,123754.7578125,51.008304595947266,-0.9337307810783386,2012-07-17
52747975,10032907561,GU31 4FG,MERRITTS MEADOW,474902.84375,123754.7578125,51.008304595947266,-0.9337307810783386,2012-07-17
52747976,10032907562,GU31 4FG,MERRITTS MEADOW,474902.84375,123754.7578125,51.008304595947266,-0.9337307810783386,2012-07-17
52747977,10032907563,GU31 4FG,MERRITTS MEADOW,474902.84375,123754.7578125,51.008304595947266,-0.9337307810783386,2012-07-17
52747978,10032907564,GU31 4FG,MERRITTS MEADOW,474902.84375,123754.7578125,51.008304595947266,-0.9337307810783386,2012-07-17
52747979,10032907565,GU31 4FG,MERRITTS MEADOW,474902.84375,123754.7578125,51.008304595947266,-0.9337307810783386,2012-07-17
52747980,10032907566,GU31 4FG,MERRITTS MEADOW,474890.65625,123760.796875,51.00836181640625,-0.9339032173156738,2012-07-17
52747981,10032907567,GU31 4FG,MERRITTS MEADOW,474883.96875,123764.3671875,51.008392333984375,-0.9339976906776428,2012-07-17
52747982,10032907568,GU31 4FG,MERRITTS MEADOW,474879.78125,123767.453125,51.0084228515625,-0.9340568780899048,2012-07-17
52747983,10032907569,GU31 4FG,MERRITTS MEADOW,474874.84375,123773.2421875,51.00847244262695,-0.9341263175010681,2012-07-17
52747984,10032907570,GU31 4FG,MERRITTS MEADOW,474868.34375,123777.9921875,51.00851821899414,-0.9342175722122192,2012-07-17
52788890,10032907249,GU32 3JL,HIGH STREET,474827.6875,123263.390625,51.0038948059082,-0.9349030256271362,2012-05-08
52935707,10090971848,GU32 3HX,ST PETERS ROAD,474673.0,123209.0,51.00342559814453,-0.937118411064148,2013-02-25
52935708,10090971849,GU32 3HX,ST PETERS ROAD,474673.0,123209.0,51.00342559814453,-0.937118411064148,2013-02-27
52991112,10090971632,GU32 3JT,HIGH STREET,474714.28125,123247.3828125,51.00376510620117,-0.9365223050117493,2013-01-03
53092253,10090972059,GU32 3LF,BOROUGH ROAD,474149.96875,123171.6015625,51.00315856933594,-0.944579005241394,2013-04-16
53092255,10090972060,GU32 3LF,BOROUGH ROAD,474127.3125,123167.90625,51.00312805175781,-0.9449027180671692,2013-04-16
53313235,10090972563,GU32 3NH,PADDOCK WAY,473826.0625,122614.8515625,50.99819564819336,-0.9493077993392944,2013-10-30
53313236,10090972564,GU32 3NH,PADDOCK WAY,473814.875,122613.4765625,50.99818420410156,-0.9494671821594238,2013-10-30
53317152,10090972580,GU31 4FH,COLLEGE STREET,474868.125,123367.8125,51.00482940673828,-0.9343050718307495,2013-11-05
53317153,10090972581,GU31 4FH,COLLEGE STREET,474870.03125,123371.7890625,51.00486373901367,-0.9342772960662842,2013-11-05
53317154,10090972582,GU31 4FH,COLLEGE STREET,474869.3125,123377.640625,51.00491714477539,-0.9342864751815796,2013-11-05
53317155,10090972583,GU31 4FH,COLLEGE STREET,474871.78125,123382.2890625,51.00495910644531,-0.9342501163482666,2013-11-05
53317156,10090972584,GU31 4FH,COLLEGE STREET,474878.84375,123386.6796875,51.00499725341797,-0.9341486096382141,2013-11-05
53317157,10090972585,GU31 4FH,COLLEGE STREET,474874.6875,123397.03125,51.00509262084961,-0.9342058897018433,2013-11-05
53317158,10090972586,GU31 4FH,COLLEGE STREET,474860.09375,123400.7421875,51.005126953125,-0.9344130158424377,2013-11-05
53317159,10090972587,GU31 4FH,COLLEGE STREET,474852.59375,123397.171875,51.005096435546875,-0.9345204830169678,2013-11-05
53395354,10090973077,GU31 4AW,READON CLOSE,475167.46875,123746.5703125,51.00819778442383,-0.9299615025520325,2014-01-22
53439471,10090973586,GU32 2ES,RUSHES FARM,474101.59375,123832.546875,51.00910568237305,-0.945133626461029,2014-07-01
53565115,10090973534,GU32 3DP,CHAPEL STREET,474530.40625,123387.4921875,51.00505065917969,-0.9391137957572937,2014-06-19
53565116,10090973535,GU32 3DP,CHAPEL STREET,474530.40625,123387.4921875,51.00505065917969,-0.9391137957572937,2014-06-19
53565117,10090973536,GU32 3DP,CHAPEL STREET,474529.65625,123375.546875,51.00494384765625,-0.9391266703605652,2014-06-19
53565118,10090973537,GU32 3DP,CHAPEL STREET,474529.65625,123375.546875,51.00494384765625,-0.9391266703605652,2014-06-19
53565119,10090973538,GU32 3DP,CHAPEL STREET,474529.65625,123375.546875,51.00494384765625,-0.9391266703605652,2014-06-19
53565120,10090973539,GU32 3DP,CHAPEL STREET,474529.65625,123375.546875,51.00494384765625,-0.9391266703605652,2014-06-19
53565121,10090973540,GU32 3DP,CHAPEL STREET,474540.15625,123373.3203125,51.004920959472656,-0.9389774799346924,2014-06-19
53565122,10090973541,GU32 3DP,CHAPEL STREET,474540.15625,123373.3203125,51.004920959472656,-0.9389774799346924,2014-06-19
53625697,10090973942,GU31 4FL,LEACHMAN WAY,474326.21875,122444.3515625,50.99659729003906,-0.9422159790992737,2014-11-04
53625699,10090973941,GU31 4FL,LEACHMAN WAY,474310.53125,122432.078125,50.996490478515625,-0.9424421787261963,2014-11-04
53625700,10090973961,GU31 4FL,LEACHMAN WAY,474301.5,122399.8671875,50.99620056152344,-0.942577600479126,2014-11-10
53625701,10090973943,GU31 4FL,LEACHMAN WAY,474323.71875,122402.6796875,50.99622344970703,-0.942260205745697,2014-11-04
53625702,10090973962,GU31 4FL,LEACHMAN WAY,474303.34375,122395.171875,50.996158599853516,-0.9425520896911621,2014-11-10
53625703,10090973944,GU31 4FL,LEACHMAN WAY,474334.96875,122411.578125,50.996299743652344,-0.942098081111908,2014-11-04
53625704,10090973963,GU31 4FL,LEACHMAN WAY,474312.59375,122367.8125,50.99591064453125,-0.9424259066581726,2014-11-10
53625705,10090973945,GU31 4FL,LEACHMAN WAY,474343.15625,122416.7890625,50.99634552001953,-0.9419804811477661,2014-11-04
53625706,10090973964,GU31 4FL,LEACHMAN WAY,474314.6875,122354.78125,50.995792388916016,-0.9423987865447998,2014-11-10
53625707,10090973946,GU31 4FL,LEACHMAN WAY,474350.4375,122426.7109375,50.996437072753906,-0.9418746829032898,2014-11-04
53625708,10090973965,GU31 4FL,LEACHMAN WAY,474321.28125,122344.3984375,50.99570083618164,-0.9423069953918457,2014-11-10
53625709,10090973966,GU31 4FL,LEACHMAN WAY,474330.875,122337.84375,50.99563980102539,-0.9421716928482056,2014-11-10
53625710,10090973947,GU31 4FL,LEACHMAN WAY,474363.25,122407.71875,50.99626159667969,-0.9416961073875427,2014-11-04
53625711,10090973968,GU31 4FL,LEACHMAN WAY,474334.96875,122334.59375,50.995609283447266,-0.9421138763427734,2014-11-10
53625712,10090973948,GU31 4FL,LEACHMAN WAY,474354.03125,122364.71875,50.99587631225586,-0.941836416721344,2014-11-04
53625713,10090973969,GU31 4FL,LEACHMAN WAY,474343.40625,122327.640625,50.99554443359375,-0.9419950842857361,2014-11-10
53625714,10090973949,GU31 4FL,LEACHMAN WAY,474350.71875,122361.7890625,50.995849609375,-0.9418841004371643,2014-11-04
53625715,10090973970,GU31 4FL,LEACHMAN WAY,474347.59375,122324.453125,50.99551773071289,-0.941936194896698,2014-11-10
53625716,10090973950,GU31 4FL,LEACHMAN WAY,474347.15625,122358.8671875,50.995826721191406,-0.9419354796409607,2014-11-04
53625717,10090973971,GU31 4FL,LEACHMAN WAY,474368.21875,122313.328125,50.99541473388672,-0.9416447281837463,2014-11-10
53625718,10090973951,GU31 4FL,LEACHMAN WAY,474362.59375,122342.1171875,50.99567413330078,-0.9417189955711365,2014-11-04
53625719,10090973972,GU31 4FL,LEACHMAN WAY,474364.4375,122309.859375,50.995384216308594,-0.9416993260383606,2014-11-10
53625720,10090973952,GU31 4FL,LEACHMAN WAY,474379.03125,122327.3203125,50.99553680419922,-0.9414876103401184,2014-11-04
53625769,10090973932,GU31 4FN,REEVES DRIVE,474292.40625,122420.90625,50.99639129638672,-0.9427027106285095,2014-11-04
53625770,10090973934,GU31 4FN,REEVES DRIVE,474278.65625,122410.75,50.996299743652344,-0.9429007172584534,2014-11-04
53625771,10090973935,GU31 4FN,REEVES DRIVE,474269.53125,122405.421875,50.996253967285156,-0.9430317282676697,2014-11-04
53625772,10090973936,GU31 4FN,REEVES DRIVE,474259.15625,122398.1171875,50.99618911743164,-0.9431809186935425,2014-11-04
53625773,10090973937,GU31 4FN,REEVES DRIVE,474250.1875,122392.5078125,50.99613952636719,-0.943310022354126,2014-11-04
53625774,10090973938,GU31 4FN,REEVES DRIVE,474237.46875,122384.1875,50.99606704711914,-0.9434928297996521,2014-11-04
53625775,10090973939,GU31 4FN,REEVES DRIVE,474225.90625,122376.75,50.996002197265625,-0.9436591267585754,2014-11-04
53625794,10090974004,GU31 4FP,WHITTINGTON ROAD,474291.5,122355.1796875,50.99580001831055,-0.9427291750907898,2014-11-10
53625795,10090973990,GU31 4FP,WHITTINGTON ROAD,474305.9375,122386.40625,50.99607849121094,-0.9425168037414551,2014-11-10
53625796,10090974005,GU31 4FP,WHITTINGTON ROAD,474287.875,122350.828125,50.99576187133789,-0.9427815079689026,2014-11-10
53625797,10090973991,GU31 4FP,WHITTINGTON ROAD,474283.25,122389.953125,50.99611282348633,-0.942839503288269,2014-11-10
53625798,10090974006,GU31 4FP,WHITTINGTON ROAD,474278.6875,122340.9296875,50.99567413330078,-0.9429144859313965,2014-11-10
53625799,10090973992,GU31 4FP,WHITTINGTON ROAD,474277.03125,122374.2734375,50.9959716796875,-0.9429312944412231,2014-11-10
53625800,10090974007,GU31 4FP,WHITTINGTON ROAD,474299.1875,122324.2578125,50.995521545410156,-0.9426259994506836,2014-11-10
53625801,10090973993,GU31 4FP,WHITTINGTON ROAD,474273.875,122370.453125,50.995941162109375,-0.9429770708084106,2014-11-10
53625802,10090974008,GU31 4FP,WHITTINGTON ROAD,474310.21875,122315.28125,50.99543762207031,-0.942470371723175,2014-11-10
53625803,10090973994,GU31 4FP,WHITTINGTON ROAD,474270.375,122366.5234375,50.99590301513672,-0.9430277943611145,2014-11-10
53625804,10090974009,GU31 4FP,WHITTINGTON ROAD,474327.3125,122300.5625,50.995304107666016,-0.942230224609375,2014-11-10
53625805,10090973995,GU31 4FP,WHITTINGTON ROAD,474258.90625,122359.75,50.995845794677734,-0.9431926012039185,2014-11-10
53625806,10090973996,GU31 4FP,WHITTINGTON ROAD,474241.875,122351.2890625,50.99576950073242,-0.9434369206428528,2014-11-10
53625807,10090974010,GU31 4FP,WHITTINGTON ROAD,474346.84375,122284.8515625,50.99515914916992,-0.9419549107551575,2014-11-10
53625808,10090973997,GU31 4FP,WHITTINGTON ROAD,474256.53125,122332.078125,50.99559783935547,-0.9432318806648254,2014-11-10
53625809,10090974011,GU31 4FP,WHITTINGTON ROAD,474351.15625,122289.4921875,50.995201110839844,-0.9418926239013672,2014-11-10
53625810,10090973998,GU31 4FP,WHITTINGTON ROAD,474264.84375,122325.40625,50.99553680419922,-0.9431149959564209,2014-11-10
53625811,10090974012,GU31 4FP,WHITTINGTON ROAD,474354.125,122293.140625,50.995235443115234,-0.9418497085571289,2014-11-10
53625812,10090973999,GU31 4FP,WHITTINGTON ROAD,474274.8125,122317.0078125,50.995460510253906,-0.9429748058319092,2014-11-10
53625813,10090974013,GU31 4FP,WHITTINGTON ROAD,474357.25,122296.953125,50.99526596069336,-0.9418041706085205,2014-11-10
53625814,10090974000,GU31 4FP,WHITTINGTON ROAD,474280.6875,122312.15625,50.99541473388672,-0.9428918957710266,2014-11-10
53625815,10090974014,GU31 4FP,WHITTINGTON ROAD,474360.53125,122300.7734375,50.99530029296875,-0.9417567849159241,2014-11-10
53625816,10090974001,GU31 4FP,WHITTINGTON ROAD,474291.75,122303.171875,50.995330810546875,-0.9427363276481628,2014-11-10
53625817,10090974002,GU31 4FP,WHITTINGTON ROAD,474305.8125,122292.21875,50.99523162841797,-0.9425382018089294,2014-11-10
53625818,10090974003,GU31 4FP,WHITTINGTON ROAD,474318.125,122282.359375,50.995140075683594,-0.942364513874054,2014-11-10
53625919,10090973967,GU31 4FQ,CROCKFORD DRIVE,474378.78125,122327.3515625,50.99553680419922,-0.941491425037384,2014-11-10
53625920,10090973974,GU31 4FQ,CROCKFORD DRIVE,474392.6875,122343.1484375,50.99567794799805,-0.9412897229194641,2014-11-10
53625921,10090973975,GU31 4FQ,CROCKFORD DRIVE,474401.625,122358.078125,50.995811462402344,-0.9411593079566956,2014-11-10
53625922,10090973976,GU31 4FQ,CROCKFORD DRIVE,474378.3125,122364.03125,50.99586868286133,-0.9414905905723572,2014-11-10
53625923,10090973977,GU31 4FQ,CROCKFORD DRIVE,474359.6875,122371.2109375,50.995933532714844,-0.9417542815208435,2014-11-10
53625924,10090973978,GU31 4FQ,CROCKFORD DRIVE,474363.4375,122374.6484375,50.99596405029297,-0.941700279712677,2014-11-10
53625925,10090973979,GU31 4FQ,CROCKFORD DRIVE,474367.09375,122377.7578125,50.995994567871094,-0.9416474103927612,2014-11-10
53625926,10090973980,GU31 4FQ,CROCKFORD DRIVE,474370.3125,122380.703125,50.99601745605469,-0.9416009187698364,2014-11-10
53625927,10090973981,GU31 4FQ,CROCKFORD DRIVE,474368.625,122402.328125,50.996212005615234,-0.941620409488678,2014-11-10
53625928,10090973982,GU31 4FQ,CROCKFORD DRIVE,474372.03125,122399.453125,50.99618911743164,-0.9415727257728577,2014-11-10
53625929,10090973983,GU31 4FQ,CROCKFORD DRIVE,474375.6875,122396.4609375,50.996158599853516,-0.9415211081504822,2014-11-10
53625930,10090973984,GU31 4FQ,CROCKFORD DRIVE,474379.21875,122393.4296875,50.996131896972656,-0.94147127866745,2014-11-10
53625931,10090973985,GU31 4FQ,CROCKFORD DRIVE,474401.5625,122379.9765625,50.996009826660156,-0.9411557912826538,2014-11-10
53625932,10090973986,GU31 4FQ,CROCKFORD DRIVE,474405.75,122377.0,50.99597930908203,-0.9410969018936157,2014-11-10
53625933,10090973987,GU31 4FQ,CROCKFORD DRIVE,474415.59375,122371.1796875,50.99592590332031,-0.9409577250480652,2014-11-10
53625934,10090973988,GU31 4FQ,CROCKFORD DRIVE,474420.40625,122367.9375,50.99589920043945,-0.9408897161483765,2014-11-10
53647740,10090973739,GU32 2HN,HIGHFIELD ROAD,474592.96875,124007.421875,51.010616302490234,-0.938095211982727,2014-09-11
53647741,10090973740,GU32 2HN,HIGHFIELD ROAD,474599.90625,124011.1171875,51.01064682006836,-0.9379954934120178,2014-09-11
53647742,10090973741,GU32 2HN,HIGHFIELD ROAD,474605.625,124014.40625,51.010677337646484,-0.937913179397583,2014-09-11
53651924,10090974093,GU32 2BF,HIGHFIELD ROAD,474650.0,123925.3515625,51.00987243652344,-0.9372990727424622,2015-01-14
53651925,10090974094,GU32 2BF,HIGHFIELD ROAD,474644.5,123917.8125,51.009803771972656,-0.9373791813850403,2015-01-14
53651926,10090974095,GU32 2BF,HIGHFIELD ROAD,474660.1875,123891.1875,51.00956344604492,-0.9371609091758728,2015-01-14
53651927,10090974096,GU32 2BF,HIGHFIELD ROAD,474663.28125,123894.546875,51.00959014892578,-0.9371162056922913,2015-01-14
53651928,10090974097,GU32 2BF,HIGHFIELD ROAD,474674.125,123894.65625,51.00959014892578,-0.9369614124298096,2015-01-14
53658044,10090973744,GU32 3JL,HIGH STREET,474814.25,123261.1328125,51.003875732421875,-0.9350950121879578,2014-09-17
53658045,10090973745,GU32 3JL,HIGH STREET,474813.4375,123271.796875,51.00397491455078,-0.9351041913032532,2014-09-17
53658046,10090973746,GU32 3JL,HIGH STREET,474814.25,123261.1328125,51.003875732421875,-0.9350950121879578,2014-09-17
53658047,10090973747,GU32 3JL,HIGH STREET,474813.4375,123271.796875,51.00397491455078,-0.9351043105125427,2014-09-17
53705951,10090973953,GU32 3DP,CHAPEL STREET,474559.15625,123333.4375,51.00456237792969,-0.9387149810791016,2014-11-06
53705952,10090973954,GU32 3DP,CHAPEL STREET,474552.78125,123333.6875,51.00456237792969,-0.9388059973716736,2014-11-06
53705953,10090973955,GU32 3DP,CHAPEL STREET,474566.15625,123333.34375,51.00455856323242,-0.9386152029037476,2014-11-06
53761448,10090974072,GU31 5RS,NORTH LANE,474335.0,120395.0,50.97816848754883,-0.9425095915794373,2015-01-06
53761449,10090974073,GU31 5RS,NORTH LANE,474339.0,120396.0,50.978179931640625,-0.9424524903297424,2015-01-06
53761450,10090974074,GU31 5RS,NORTH LANE,474344.0,120396.0,50.978179931640625,-0.9423813223838806,2015-01-06
53761451,10090974075,GU31 5RS,NORTH LANE,474349.0,120395.0,50.97816848754883,-0.9423102736473083,2015-01-06
53811170,10090974148,GU32 3DT,CHAPEL STREET,474604.09375,123375.7265625,51.00493621826172,-0.9380661845207214,2015-02-18
53811171,10090974149,GU32 3DT,CHAPEL STREET,474604.09375,123375.7265625,51.00493621826172,-0.9380661845207214,2015-02-18
53811172,10090974150,GU32 3DT,CHAPEL STREET,474604.09375,123375.7265625,51.00493621826172,-0.9380661845207214,2015-02-18
53811173,10090974151,GU32 3DT,CHAPEL STREET,474604.09375,123375.7265625,51.00493621826172,-0.9380661845207214,2015-02-18
53811174,10090974152,GU32 3DT,CHAPEL STREET,474604.09375,123375.7265625,51.00493621826172,-0.9380661845207214,2015-02-18
54027274,10090974378,GU32 3EL,LAVANT STREET,474532.625,123457.4296875,51.005680084228516,-0.9390679001808167,2015-08-24
